XPath,4009.2.xml,5019.1.xml,5022.1.xml,5022.9.xml,5023.1.xml,5023.2.xml,5024.10.xml,5025.10.xml,6.55.xml
/eml:eml/dataset/dataTable/coverage/temporalCoverage/@id,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
/eml:eml/dataset/dataTable/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
/eml:eml/dataset/dataTable/entityDescription,4.0,8.0,8.0,8.0,2.0,2.0,0.0,0.0,6.0
/eml:eml/dataset/dataTable/entityName,2.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/methods/methodStep/description/section/para,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
/eml:eml/dataset/dataTable/methods/methodStep/description/section/title,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/numberOfRecords,2.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/physical/authentication,2.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/physical/authentication/@method,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/physical/characterEncoding,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/attributeOrientation,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numFooterLines,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/numHeaderLines,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/recordDelimiter,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/collapseDelimiters,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/fieldDelimiter,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/physical/dataFormat/textFormat/simpleDelimited/quoteCharacter,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/physical/distribution/access/@authSystem,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/physical/distribution/access/@order,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/physical/distribution/access/@system,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/physical/distribution/access/allow/permission,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
/eml:eml/dataset/dataTable/physical/distribution/access/allow/principal,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
/eml:eml/dataset/dataTable/physical/distribution/online/url,2.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/physical/distribution/online/url/@function,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
/eml:eml/dataset/dataTable/physical/objectName,2.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/physical/size,2.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,3.0
/eml:eml/dataset/dataTable/physical/size/@unit,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
/eml:eml/dataset/distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/distribution/online/url,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/distribution/online/url/@function,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/intellectualRights,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
/eml:eml/dataset/intellectualRights/para,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/intellectualRights/para/itemizedlist/listitem/para,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
/eml:eml/dataset/keywordSet/keyword,17.0,22.0,26.0,26.0,19.0,19.0,29.0,29.0,45.0
/eml:eml/dataset/keywordSet/keyword/@keywordType,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0
/eml:eml/dataset/keywordSet/keywordThesaurus,2.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,8.0
/eml:eml/dataset/language,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/maintenance,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
/eml:eml/dataset/maintenance/changeHistory/changeDate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
/eml:eml/dataset/maintenance/changeHistory/changeScope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
/eml:eml/dataset/maintenance/changeHistory/comment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
/eml:eml/dataset/maintenance/changeHistory/oldValue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
/eml:eml/dataset/maintenance/description/para,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
