XPath,AND_2005_EML,AND_2006_EML,AND_2007_EML,AND_2008_EML,AND_2009_EML,AND_2010_EML,AND_2011_EML,AND_2012_EML,AND_2013_EML,AND_2014_EML,AND_2015_EML,AND_2016_EML,AND_2017_EML,AND_2018_EML
/eml:eml/dataset/coverage/@scope,0.6739130434782609,0.5714285714285714,0.4736842105263158,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/@scope,0.5706521739130435,0.42857142857142855,0.42105263157894735,0.6666666666666666,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMaximum,0.375,0.6428571428571429,0.631578947368421,1.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.3577235772357724,0.5454545454545454,0.6666666666666666,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeMinimum,0.375,0.6428571428571429,0.631578947368421,1.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.3577235772357724,0.5454545454545454,0.6666666666666666,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/boundingAltitudes/altitudeUnits,0.375,0.6428571428571429,0.631578947368421,1.0,1.0,0.0,0.0,1.0,0.1111111111111111,0.08333333333333333,0.3577235772357724,0.5454545454545454,0.6666666666666666,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,0.4510869565217392,0.5714285714285714,0.9473684210526316,1.0,1.0,0.0,0.3333333333333333,1.0,0.5555555555555556,0.8333333333333334,0.8861788617886179,0.9090909090909092,0.8666666666666667,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,0.4510869565217392,0.5714285714285714,0.9473684210526316,1.0,1.0,0.0,0.3333333333333333,1.0,0.5555555555555556,0.8333333333333334,0.8861788617886179,0.9090909090909092,0.8666666666666667,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,0.4510869565217392,0.5714285714285714,0.9473684210526316,1.0,1.0,0.0,0.3333333333333333,1.0,0.5555555555555556,0.8333333333333334,0.8861788617886179,0.9090909090909092,0.8666666666666667,1.0
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,0.4510869565217392,0.5714285714285714,0.9473684210526316,1.0,1.0,0.0,0.3333333333333333,1.0,0.5555555555555556,0.8333333333333334,0.8861788617886179,0.9090909090909092,0.8666666666666667,1.0
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,0.6847826086956522,0.5714285714285714,0.6842105263157895,1.0,1.0,0.0,0.6666666666666666,1.0,0.5555555555555556,0.8333333333333334,0.8861788617886179,0.9090909090909092,0.8666666666666667,1.0
/eml:eml/dataset/coverage/taxonomicCoverage/@scope,0.10869565217391304,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
