XPath,PIE_2005_EML,PIE_2007_EML,PIE_2009_EML,PIE_2010_EML,PIE_2011_EML,PIE_2012_EML,PIE_2013_EML,PIE_2014_EML,PIE_2015_EML,PIE_2016_EML,PIE_2017_EML,PIE_2018_EML
/eml:eml/dataset/creator/address/postalCode,0.9875776397515528,1.0,1.0,1.0,1.0,1.0,1.0,0.9666666666666668,0.990521327014218,1.0,1.0,1.0
/eml:eml/dataset/creator/electronicMailAddress,0.16770186335403728,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.20853080568720375,0.0,0.0,0.9473684210526316
/eml:eml/dataset/creator/individualName/givenName,0.9875776397515528,1.0,1.0,1.0,1.0,1.0,1.0,0.13333333333333333,0.7725118483412322,1.0,1.0,1.0
/eml:eml/dataset/creator/individualName/surName,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
/eml:eml/dataset/creator/onlineUrl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632
/eml:eml/dataset/creator/organizationName,0.5217391304347826,0.6666666666666666,0.8,0.75,0.6666666666666666,1.0,1.0,0.13333333333333333,0.7725118483412322,1.0,1.0,0.7368421052631579
/eml:eml/dataset/creator/phone,0.16770186335403728,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.2227488151658768,0.0,0.0,0.9473684210526316
/eml:eml/dataset/creator/phone/@phonetype,0.16770186335403728,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.2227488151658768,0.0,0.0,0.9473684210526316
/eml:eml/dataset/creator/positionName,0.0,0.0,0.0,0.0,0.0,0.0,0.04615384615384616,0.8666666666666667,0.2227488151658768,0.0,0.0,0.0
/eml:eml/dataset/creator/userId,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632
/eml:eml/dataset/creator/userId/@directory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8947368421052632
/eml:eml/dataset/dataTable/@scope,0.36645962732919257,0.3548387096774194,0.2,0.3125,0.3333333333333333,0.21333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/@id,0.8198757763975155,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.05263157894736842
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,0.36645962732919257,0.3548387096774194,0.2,0.3125,0.3333333333333333,0.21333333333333332,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,0.8198757763975155,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.9473684210526316
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,0.8198757763975155,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.9473684210526316
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,0.8198757763975155,1.0,1.0,1.0,1.0,1.0,0.38461538461538464,0.13333333333333333,0.6777251184834123,1.0,1.0,0.9473684210526316
