XPath,HBR_2005_EML,HBR_2007_EML,HBR_2008_EML,HBR_2010_EML,HBR_2015_EML,HBR_2016_EML,HBR_2017_EML,HBR_2018_EML
/eml:eml/dataset/creator/address/country,0.7764705882352941,0.8888888888888888,1.0,0.0,0.9807692307692308,0.9736842105263158,1.0,1.0
/eml:eml/dataset/creator/address/deliveryPoint,0.3235294117647059,0.8888888888888888,1.0,0.0,0.9615384615384616,0.9407894736842104,1.0,1.0
/eml:eml/dataset/creator/address/postalCode,0.6882352941176471,0.8888888888888888,1.0,0.0,0.9615384615384616,0.9407894736842104,1.0,1.0
/eml:eml/dataset/creator/electronicMailAddress,0.029411764705882356,0.8888888888888888,1.0,0.0,0.038461538461538464,0.013157894736842105,0.0,1.0
/eml:eml/dataset/creator/individualName/givenName,1.0,1.0,1.0,1.0,1.0,0.9934210526315791,1.0,1.0
/eml:eml/dataset/creator/individualName/salutation,0.017647058823529408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/creator/individualName/surName,1.0,1.0,1.0,1.0,1.0,0.9934210526315791,1.0,1.0
/eml:eml/dataset/creator/onlineUrl,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0
/eml:eml/dataset/creator/organizationName,0.9823529411764704,1.0,1.0,1.0,1.0,0.986842105263158,1.0,1.0
/eml:eml/dataset/creator/phone,0.3647058823529412,0.0,0.0,0.0,0.7115384615384616,0.8552631578947368,1.0,0.0
/eml:eml/dataset/creator/phone/@phonetype,0.3941176470588235,0.0,0.0,0.0,0.7115384615384616,0.8552631578947368,1.0,0.0
/eml:eml/dataset/creator/positionName,0.0,0.0,0.0,0.0,0.0,0.006578947368421052,0.0,0.0
/eml:eml/dataset/dataTable/@scope,0.8705882352941177,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/additionalInfo/para,0.0,0.0,0.0,0.0,0.17307692307692307,0.13157894736842105,0.0,0.0
/eml:eml/dataset/dataTable/additionalInfo/para/literalLayout,0.08235294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/additionalInfo/section/para,0.029411764705882356,0.0,0.0,0.0,0.8269230769230769,0.6842105263157895,1.0,1.0
/eml:eml/dataset/dataTable/additionalInfo/section/para/literalLayout,0.8470588235294118,0.4444444444444444,0.0,1.0,0.0,0.07236842105263158,0.0,0.0
/eml:eml/dataset/dataTable/additionalInfo/section/title,0.3470588235294117,0.4444444444444444,0.0,1.0,0.4615384615384616,0.375,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/@scope,0.8705882352941177,1.0,1.0,1.0,0.0,0.0,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,0.8705882352941177,1.0,1.0,1.0,1.0,0.8355263157894737,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,0.08823529411764706,0.0,0.0,0.0,0.07692307692307693,0.06578947368421052,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,0.8705882352941177,1.0,1.0,1.0,1.0,0.8355263157894737,1.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/maximum,0.0,0.0,0.0,0.0,0.25,0.32894736842105265,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/maximum/@exclusive,0.0,0.0,0.0,0.0,0.25,0.32894736842105265,0.0,0.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/minimum,0.0,0.0,0.0,0.0,0.36538461538461536,0.4605263157894737,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimeDomain/bounds/minimum/@exclusive,0.0,0.0,0.0,0.0,0.36538461538461536,0.4605263157894737,0.0,1.0
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/dateTimePrecision,0.0,0.0,0.0,0.0,0.5576923076923077,0.6447368421052632,1.0,1.0
